productLinkId,itemTemplate,platform,affiliateUrl,priceSnapshotKrw
,pregnancy_vitamin,coupang,https://link.coupang.com/a/g0SIa8TnK8,39520
,car_seat,coupang,https://link.coupang.com/a/g0StQZAVZk,195000
,diaper_stock,coupang,https://link.coupang.com/a/g0S0TnkztI,36300
,baby_bath,coupang,https://link.coupang.com/a/g0S8dYa7QO,9500
,stroller,coupang,https://link.coupang.com/a/g0TcIPEqAu,369000
,baby_food_maker,coupang,https://link.coupang.com/a/g0TdhOkboi,32800
,first_books,coupang,https://link.coupang.com/a/g0TdGtGxa0,27000
,maternity_underwear,coupang,https://link.coupang.com/a/g0TLOb3iCa,15900
,anti_nausea_relief,coupang,https://link.coupang.com/a/g0SEExmomq,6190
,pregnancy_diary,coupang,https://link.coupang.com/a/g0TetZ9UdM,15800
,maternity_clothes,coupang,https://link.coupang.com/a/g0Tffdw4E8,21250
,body_pillow,coupang,https://link.coupang.com/a/g0TfOXfuXQ,86900
,stretch_care_cream,coupang,https://link.coupang.com/a/g0TghLhYqG,26440
,iron_supplement,coupang,https://link.coupang.com/a/g0TgHanBeK,50000
,prenatal_class,coupang,https://link.coupang.com/a/g0Tg3viuRw,17550
,hospital_bag,coupang,https://link.coupang.com/a/g0Tif6EgjQ,76900
,newborn_clothes_set,coupang,https://link.coupang.com/a/g0TiGeI4ke,31400
,feeding_bottle_set,coupang,https://link.coupang.com/a/g0Ti6s6V0C,17020
,breast_pump,coupang,https://link.coupang.com/a/g0Tjvdz38u,58000
,nursing_pads,coupang,https://link.coupang.com/a/g0TjSQPrzw,7900
,crib,coupang,https://link.coupang.com/a/g0TkJXV0ea,124700
,wipes_bulk,coupang,https://link.coupang.com/a/g0TllDW25Q,21590
,formula,coupang,https://link.coupang.com/a/g0TlWTV9EW,86500
,swaddle,coupang,https://link.coupang.com/a/g0Tmyjixt6,27900
,baby_thermometer,coupang,https://link.coupang.com/a/g0TMmf98rk,68500
,baby_detergent,coupang,https://link.coupang.com/a/g0TnHUI2Ka,37900
,baby_skincare,coupang,https://link.coupang.com/a/g0Toj8mhFI,28900
,nail_care_set,coupang,https://link.coupang.com/a/g0ToJpTrxc,19800
,baby_carrier,coupang,https://link.coupang.com/a/g0Tpbg0xlA,29600
,mobile_toy,coupang,https://link.coupang.com/a/g0TpQsF2aa,44820
,high_chair,coupang,https://link.coupang.com/a/g0TqEweqKi,23290
,weaning_tableware,coupang,https://link.coupang.com/a/g0Tq6vW95U,23900
,teether,coupang,https://link.coupang.com/a/g0TrtLVqRE,13360
,play_mat,coupang,https://link.coupang.com/a/g0Tr8vF3kG,20000
,safety_gate,coupang,https://link.coupang.com/a/g0TsYDIZWu,36900
,corner_guards,coupang,https://link.coupang.com/a/g0TtYut5AO,7900
,push_walker,coupang,https://link.coupang.com/a/g0TuobbmqO,24350
,first_shoes,coupang,https://link.coupang.com/a/g0TuMZm8ku,18800
,snack_container,coupang,https://link.coupang.com/a/g0TvdpApz2,28000
,potty_trainer,coupang,https://link.coupang.com/a/g0TMSViw3M,18900
,toddler_dental,coupang,https://link.coupang.com/a/g0TwkN7VCK,19800
,toddler_tableware,coupang,https://link.coupang.com/a/g0TwJtuNno,34800
,ride_on_car,coupang,https://link.coupang.com/a/g0Tw9g2OnQ,33600
,sticker_books,coupang,https://link.coupang.com/a/g0TxxEhcTk,3600
,daycare_kit,coupang,https://link.coupang.com/a/g0TxYzHQt3,23900
,toddler_rain_gear,coupang,https://link.coupang.com/a/g0TyB4Ykhw,27800
